COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 11/09/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTEMBER DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN   : 13049 
 NOMBRE     : RANCHO LA SOLEDAD (CFE) 
 ESTADO     : HIDALGO 
 MUNICIPIO  : TULA DE ALLENDE 
 SITUACIÓN  : SUSPENDIDA 
 U. ADMNVA. : ORGANISMO DE CUENCA AGUAS DEL VALLE DE MÉXICO 
 CVE-OMM    :   
 LATITUD    : 20.06666667 ° 
 LONGITUD   : -99.26666667 ° 
 ALTITUD    : 2091 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1971-08-01	0	NULO	NULO	NULO
1973-05-02	2	8.2	27.6	10.1
1973-05-03	0	5.3	24.1	12.1
1973-05-04	0	7.2	26.6	10.6
1973-05-05	1	6.5	28.1	10.6
1973-05-06	0	5.6	29.1	12.6
1973-05-07	0	7.9	29.1	12.1
1973-05-08	2.5	6.1	29.1	11.6
1973-05-09	0	6.2	28.1	11.1
1973-05-10	3	1.5	27.1	10.1
1973-05-11	9	11.7	29.1	10.1
1973-05-12	5	7.9	29.1	11.1
1973-05-13	0	6.9	23.1	10.1
1973-05-14	0	5.1	22.1	9.6
1973-05-15	0	6.4	20.1	9.6
1973-05-16	0	7.4	24.6	9.1
1973-05-17	5.5	4.2	24.1	10.1
1973-05-18	12.5	3.8	19.1	10.6
1973-05-19	0.5	3.5	24.1	10.1
1973-05-20	0	5.4	24.1	10.1
1973-05-21	0	8.9	26.1	8.1
1973-05-22	0	9	28.1	9.1
1973-05-23	0	9.7	30.1	10.1
1973-05-24	0	10.1	31.1	11.6
1973-05-25	0	9.8	32.1	12.6
1973-05-26	0	9.9	32.1	14.1
1973-05-27	0	11	33.1	15.1
1973-05-28	0	7.2	31.1	12.6
1973-05-29	0	6.9	25.1	11.1
1973-05-30	0	8.2	25.1	11.1
1973-05-31	0	7.9	25.1	9.1
1973-06-01	0	12.8	29.1	9.1
1973-06-02	0	9.6	27.1	9.6
1973-06-03	0	7.6	25.1	10.6
1973-06-04	0	6.2	22.1	9.1
1973-06-05	0	6.9	22.6	8.6
1973-06-06	0	7.6	23.1	9.1
1973-06-07	0	7.3	24.1	7.1
1973-06-08	0	4.6	23.1	10.1
1973-06-09	4	0.4	25.1	11.1
1973-06-10	0	4.9	24.1	8.1
1973-06-11	0	6.6	26.1	10.1
1973-06-12	6	6.4	29.1	10.6
1973-06-13	1.5	4.6	28.1	9.1
1973-06-14	0	9	27.1	8.6
1973-06-15	8	7.4	27.6	12.1
1973-06-16	0	6.7	27.1	11.1
1973-06-17	0	7.2	27.1	12.1
